,LOGLACC,LOGLACC,LOGLACC,LOGLACC,LOGLACC,LOGLACC,LOGRDUST95,LOGRDUST95,LOGRDUST95,LOGRDUST95,LOGRDUST95,LOGRDUST95,N1331,N1331,N1331,N1331,N1331,N1331
,alpha,alpha_std,beta,beta_std,corr,sigma,alpha,alpha_std,beta,beta_std,corr,sigma,alpha,alpha_std,beta,beta_std,corr,sigma
Name,,,,,,,,,,,,,,,,,,
FLH2O_17,-4.017958011060122,0.09417077608614917,0.5231110555725909,0.07526369938589943,0.7016275399223599,0.39185813223302784,-3.919319343300216,0.33576798907188143,-0.3836760733808648,0.19175239661643037,-0.2586350977348889,0.5196381072306098,-4.57993614964181,0.06659126574364167,-0.16149057894832813,0.0784598124571431,-0.2561150673156327,0.5135744841988144
FLHCN,-4.119079381049434,0.08448170571361818,0.4449705616441875,0.0678181978187614,0.6821003451064371,0.35226870492716184,-4.263307566835195,0.30745802747577156,-0.19492571014704818,0.17566534129864142,-0.14719625851190504,0.4768032243267579,-4.589362583272823,0.058630197912958044,-0.17538709298113753,0.06872304322978032,-0.31082073376067565,0.45185702534913585
FLC2H2,-4.36410780525773,0.09235320044856878,0.4808141829576009,0.0732649028876622,0.6791574674495113,0.3839881331186231,-4.848295668593046,0.33473833130375424,-0.02319638078995827,0.1906687287734556,-0.016265469960260646,0.517748175800808,-4.896574229392165,0.06312153554524969,-0.1147620078328632,0.07479045335643401,-0.19495112873779943,0.48510121415672336
FLCO2,-4.663327204554541,0.10014214240540316,0.36787700105943333,0.07974928367848697,0.5454337885528613,0.4160594745286878,-4.925248391580056,0.31624557417113447,-0.0729421582733439,0.17952935758095762,-0.054844097845836354,0.4845960861901357,-5.0497267899592035,0.06121706042379104,-0.1085402698409428,0.07169474335253272,-0.18762461574108905,0.4770576527259954
FLH2O_17/FLHCN,,,,,,,,,,,,,,,,,,
FLH2O_17/FLC2H2,,,,,,,,,,,,,,,,,,
FLH2O_17/FLCO2,,,,,,,,,,,,,,,,,,
